City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Vestmannaeyjar,63.4427,-20.2734,48.6,86,67,24.7,IS,2022-06-12 00:41:30
181,Guerrero Negro,27.9769,-114.0611,69.58,72,4,19.22,MX,2022-06-12 00:41:30
182,Clyde River,70.4692,-68.5914,32.23,93,100,9.22,CA,2022-06-12 00:41:31
183,Gat,31.61,34.7642,75.07,41,0,3.94,IL,2022-06-12 00:40:03
184,Hervey Bay,-25.2986,152.8535,61.02,60,96,13.0,AU,2022-06-12 00:42:31
185,Platanos,37.6667,21.6167,70.09,77,0,4.72,GR,2022-06-12 00:42:32
186,Leningradskiy,69.3833,178.4167,39.43,63,25,7.49,RU,2022-06-12 00:42:32
187,Perehonivka,48.5355,30.5192,61.45,84,8,8.03,UA,2022-06-12 00:42:33
188,Nanortalik,60.1432,-45.2371,43.43,83,100,10.96,GL,2022-06-12 00:42:33
189,Aksay,47.26,39.87,70.25,38,0,5.99,RU,2022-06-12 00:42:33
190,Kodiak,57.79,-152.4072,56.71,67,75,9.22,US,2022-06-12 00:42:34
191,Kapaa,22.0752,-159.319,85.98,74,0,16.11,US,2022-06-12 00:42:35
192,Sri Aman,1.2376,111.4621,77.09,94,20,2.3,MY,2022-06-12 00:42:36
193,Dali,25.7,100.1833,66.38,79,65,3.65,CN,2022-06-12 00:42:37
194,Lampang,18.3333,99.5,80.89,91,75,2.3,TH,2022-06-12 00:42:38
195,Saldanha,-33.0117,17.9442,57.25,88,100,11.74,ZA,2022-06-12 00:42:38
196,Blois,47.5833,1.3333,64.53,85,3,10.76,FR,2022-06-12 00:42:39
197,Seredka,58.1584,28.1858,53.35,86,82,5.28,RU,2022-06-12 00:42:39
198,Vao,-22.6667,167.4833,70.79,83,100,14.65,NC,2022-06-12 00:42:40
199,Port Macquarie,-31.4333,152.9167,60.89,38,0,7.96,AU,2022-06-12 00:42:40
200,Puerto Ayora,-0.7393,-90.3518,71.55,93,91,5.01,EC,2022-06-12 00:42:40
201,Umm Lajj,25.0213,37.2685,86.9,37,0,8.88,SA,2022-06-12 00:42:41
202,Havre-Saint-Pierre,50.2334,-63.5986,53.96,87,20,12.66,CA,2022-06-12 00:42:41
203,Marolambo,-20.05,48.1167,58.64,99,28,2.17,MG,2022-06-12 00:42:42
204,Vallenar,-28.5708,-70.7581,54.79,73,0,0.49,CL,2022-06-12 00:42:42
205,Barra Do Garcas,-15.89,-52.2567,68.94,68,100,3.87,BR,2022-06-12 00:42:42
206,A Coruna,43.3713,-8.396,66.58,86,100,11.01,ES,2022-06-12 00:42:43
207,Samarai,-10.6167,150.6667,81.79,77,41,8.21,PG,2022-06-12 00:42:43
208,Iqaluit,63.7506,-68.5145,44.33,61,75,16.11,CA,2022-06-12 00:42:43
209,Karasjok,69.4719,25.5112,55.49,90,100,7.7,NO,2022-06-12 00:42:44
210,Lompoc,34.6391,-120.4579,81.01,63,0,10.36,US,2022-06-12 00:42:44
211,Harnosand,62.6323,17.9379,50.02,81,3,8.72,SE,2022-06-12 00:38:10
212,Taoudenni,22.6783,-3.9836,99.5,8,94,10.98,ML,2022-06-12 00:42:45
213,Mandalgovi,45.7625,106.2708,55.09,61,90,25.3,MN,2022-06-12 00:42:45
214,Kahului,20.8947,-156.47,87.82,61,20,27.63,US,2022-06-12 00:42:45
